Python开发工程师,深圳市东方华信科技有限公司,北京-朝阳区,1-1.5万/月,1．计算机及相关专业全日制本科或以上学历，3年或以上工作经验，熟悉JAVA开发；2．熟悉应用软件设计方法和模式；3．熟悉Oracle/DB2/Sybase等大型数据库开发（至少一项）；4．熟练使用软件开发过程中的常用工具，如ECLIPSE/MYECLIPSE、SVN等；5．善于学习和思考，具有良好的沟通能力、良好的团队合作精神，工作严谨细致，有责任心；6．具有信息安全项目、银行业应用软件开发经验者优先。职能类别：系统分析员系统架构设计师关键字：系统分析设计项目经理SOA安全python微信分享
Python开发工程师 - 变现业务,字节跳动,北京,2.5-4万/月,职位描述:1、负责今日头条商业变现产品后台服务的设计、开发、优化等研发工作，保证产品的质量和开发进度；2、负责客户增长相关技术的设计与实现；3、研究新兴技术，对产品进行持续优化。职位要求:1、本科及以上学历，计算机相关专业，基础知识扎实；2、聪明，学习能力强，有独立解决问题的能力；3、熟悉面向对象编程，掌握java/c++/python/php中的至少一门语言；4、良好的编程习惯，追求极致的代码品质，熟悉常用设计模式和一般项目的开发流程；5、开朗上进，积极沟通，善于团队协作。职能类别：互联网软件开发工程师微信分享
Python开发工程师,北京中软融通科技有限公司,北京,0.7-2万/月,岗位职责：1.搭建系统开发环境，完成系统框架和核心代码的开发，负责解决开发过程中的技术问题2.负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作3.研究并跟踪IT前沿技术任职要求：1.大学本科或以上学历，计算机或相关专业毕业，2年以上开发经验2.熟悉Linux操作系统3.熟悉HTTP、TCP/IP等协议4.熟悉常用数据结构及算法5.精通Python，掌握爬虫技术，熟悉pyspider框架等；熟悉Django、tornado框架6.熟悉MySql数据库和Redis、MongoDB等NoSQL技术7.有移动互联网、微信公众号、小程序开发经验者优先8.需具备独立设计数据库并且独立开发内部系统的能力9.具有良好的编程思想、沟通、团队合作精神、优秀的分析问题和解决问题的能力，能够独立承受工作压力职能类别：高级软件工程师软件工程师微信分享
Python(RPA)实施开发工程师（软件）,上海艺赛旗软件股份有限公司,北京,0.8-1.2万/月,职位信息1.负责机器人流程自动化RPA产品的Python脚本开发工作；2.负责机器人流程自动化RPA产品的流程实施及配置工作；3.负责支持现场配置实施人员完成流程的设计及配置；4.完成上级领导交给的其他工作任务岗位任职资格：1.熟练掌握Python语言2.一年以上开发经验，具有设计，性能优化经验，良好的编码规范3.能够适应短期出差的工作安排。职能类别：技术支持/维护经理技术支持/维护工程师关键字：Python软件技术支持开发微信分享
高级Linux工程师（c/c++ 、php、python）,北京安德信业信息咨询有限责任公司,北京,30-55万/年,职责描述：1.负责后台系统的设计与实现，包括：推荐、消息、存储等；2.保证后台系统7*24运营和高效应急反馈；3.配合产品和市场部门，做好产品的运营支持。任职要求：1.熟悉linuxc/c++、php、python的一种或多种；2.熟悉网络编程，深入理解HTTP、TCP/IP等网络协议；3.深入理解数据库或NOSQL系统，有实际数据库调优或NOSQL使用经验；4.有良好的数据结构和算法基础。加分：1.工作5年依然热爱编码；2.熟悉mongo、redis、Nginx等开源项目；3.有过存储或IM系统经验；4.喜欢控制，有代码洁癖；5.有过搜索系统经验。职能类别：高级软件工程师系统工程师微信分享
Python/PHP开发工程师,北京华脉世纪石油科技有限公司,北京,0.8-1万/月,"岗位职责：1、根据需求完成软件模块的详细设计；2、完成相关开发文档；3、网站设计、开发、升级、维护；4、设计文档编写；5、信息安全管理；任职资格：1、重点大学、计算机相关专业、本科及以上学历，英语四级及以上水平； 2、能够熟练进行Python/PHP开发；3、熟悉数据库开发；4、工作态度认真、主动，做事踏实、细心，性格沉稳，为人诚恳；5、具备一定的沟通能力，思路及表达清晰；具备独立工作能力。职能类别：互联网软件开发工程师网页设计/制作/美工关键字：Python,php微信分享"
服务端开发工程师（Python方向）,奇虎360科技有限公司,北京,2-2.5万/月,"岗位描述：1、云服务（服务化）开发，微服务和devops；2、后端功能/工具的调研和开发；3、负责代码架构设计和搭建，参与关键技术难点攻克；4、对代码质量负责，参与实现正确、高效、稳定的应用。任职要求1、统招本科及以上学历，计算机或相关专业；2、熟练Python语言,工作/生活中遇到特定问题时，可快速通过编写代码解决；3、了解操作系统原理，熟悉进程和线程之间的主要特性和通信方式；4、熟练使用至少一种Web框架及MySQL、Redis、MongoDB、RabbitMQ等资源类组件；5、以Unix-likeOS为工作平台，具备简单的shell/vim能力，熟练使用Git；6、熟练使用Docker，了解并使用Kubernetes/Mesos/Swarm中的一种或多种容器管理工具者优先；7、具有良好的编程思想、沟通、团队合作精神、优秀的分析问题和解决问题的能力。职能类别：软件工程师微信分享"
ETL工程师/Python工程师,北京融英乐知科技有限公司,北京-西城区,1.5-1.9万/月,必会技能1.Python2.ETL【工作职责】1、负责数据仓库上游接口开发及测试2、负责整合层和汇总层脚本开发及测试3、分析影响性变更，并对脚本进行修改4、根据数据库特性，优化上线脚本5、根据项目情况参与Python开发工作【职位要求】1、熟悉Oracle/DB2数据库，熟悉SQL编写和优化；2、熟悉Python语言，能够独立完成开发任务；3、会使用DataStage、Informatic等ETL工具；4、了解关系型数据库、数据映射、熟悉数据仓库；5、熟悉Linux、Unix环境和Shell脚本编写；6、熟练掌握ETL作业配置并能使用调度工具进行日常运维工作7、能独立完成安排的开发任务具备良好的沟通能力，表达能力，团队协作力以及责任心有金融项目开发经验优先8、熟悉基金业务者优先9、有Python实际开发经验者优先职能类别：软件工程师高级软件工程师关键字：ETLPython微信分享
Python开发高级工程师,融联易云金融信息服务（北京）有限...,北京-海淀区,1-2万/月,岗位职责：1、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作；2、完成系统框架和核心代码的实现；3、对新技术有很强的学习能力；4、有较强的学习金融业务的能力。5、有较强的团队协作和管理能力。任职要求：1、3年及以上python开发经验；2、熟练使用python语言；3、熟练运用nginx、mysql、redis等；4、熟练网络编程；5、熟悉PostgreSQL，具备数据库应用、设计能力；6、对新技术有很强的学习能力；7、有较强的学习金融业务的能力。职能类别：高级软件工程师软件工程师微信分享
服务端python开发（游戏行业）,北京牧游科技有限公司,北京-海淀区,1.5-2万/月,1.负责S级手游游戏研发工作2.与团队其他成员分工合作，研发新的系统功能3.对于产品现状进行分析，提出优化方案4.在产品研发过程中，参与到研发流程中来，提出自己的见解和看法职位要求1、3年开发经验以上，计算机相关专业毕业，具备良好的计算机基础知识。2、熟悉Python语言以及常用的库。3、熟悉常见算法和数据结构。了解http协议、Socket传输4、熟悉SVN/Git版本控制工具。5、熟悉主流关系／非关系型数据库的使用，如Oracle/MySql、MemCache/Redis等。了解基本的设计、优化原则。6、熟悉Linux系统的日常使用和管理。7、优秀的沟通能力、责任感和团队合作观念。8、有游戏工作经验更佳职能类别：多媒体/游戏开发工程师关键字：游戏服务端微信分享
